,index,Metric,Quality
0,0,accuracy,0.9792837147196508
1,1,accuracy,0.9928394897843648
2,2,accuracy,0.9787136850078282
3,3,accuracy,0.9929019587938795
4,4,accuracy,0.9929800450557731
5,5,accuracy,0.9921913738106486
6,0,recall,0.5243288590604027
7,1,recall,0.10151006711409397
8,2,recall,0.5159395973154363
9,3,recall,0.08053691275167785
10,4,recall,0.08053691275167785
11,5,recall,0.13506711409395974
12,0,precision,0.11651752423564504
13,1,precision,0.13687782805429866
14,2,precision,0.11202185792349727
15,3,precision,0.11735941320293398
16,4,precision,0.12030075187969924
17,5,precision,0.1424778761061947
